MAKER,BOUGHT,SOLD,PNL,UNREALIZED,BALANCE
0x7ccdB15FF25DdDb23dD0EfC98844e07683CD8BA6,-,$953.0K17.0M/282txns,$953.0K,-,Unknown
0xb1b2d032AA2F52347fbcfd08E5C3Cc55216E8404,$17.9K376.2K/7txns,$765.7K13.6M/299txns,$747.8K,-,Unknown
0x00000000000124d994209fbB955E0217B5C2ECA1,-,$290.8K4.5M/114txns,$290.8K,-,Unknown
0xE9a109a87B143365CbEe87e81D4Bb58f364F24d3,$40.1K7.4M/12txns,$293.8K8.5M/34txns,$253.6K,-,Unknown
0xb9dD3b77Ead9985c0F4eE1137983DD3E31a15534,$65.9K12.1M/20txns,$270.9K12.1M/67txns,$205.0K,<$0.1,0of12.1M
0x10700098405068cdE24574e60cF95196113D1C40,-,$197.2K4.6M/30txns,$197.2K,-,Unknown
0x20011FA1A83BBa9c8357F852EC667d8439a7da4A,"$5,00168.7K/2txns",$141.0K2.6M/56txns,$136.0K,-,Unknown
0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,$12.9M1.1B/2Ktxns,$13.0M1.1B/2Ktxns,$127.6K,-,Unknown
0xb2B64f761073c52c3e85a56442F78Ec34207D9Df,"$3,16412.1M/1txns",$118.3K12.1M/16txns,$115.2K,<$0.1,0of12.1M
0x7948339a3d67Ef6887c3C0Bb9814143D4251066C,$23.8K2.6M/2txns,$136.2K2.0M/16txns,$112.4K,$35.6K,651.1Kof2.6M
0xfc9928F6590D853752824B0B403A6AE36785e535,$116.4K5.1M/51txns,$226.1K15.0M/83txns,$109.7K,-,Unknown
0xd7E1236C08731C3632519DCd1A581bFe6876a3B2,$34.8K2.1M/15txns,$143.1K4.6M/28txns,$108.2K,-,Unknown
0xF08DBe751bF6e4b0Eb05570E8B362036fEb0af2f,$10.9K1.3M/6txns,$115.8K9.3M/39txns,$104.9K,-,Unknown
0xf7Cdb393Eb4941aE463583ae30CcB5B7Ba61E6C6,$17.0K14.1M/4txns,$121.0K13.8M/13txns,$103.9K,$15.5K,283.8Kof14.1M
0x16D7228702152D66e5828d2d7Ea91B3520f3FC93,"$5,1659.2M/2txns",$105.7K4.1M/16txns,$100.6K,$275.0K,5.0Mof9.2M
0x190f8B066EFeFb2790F3b6320D022d2c7Bf0C893,$55.3K6.0M/12txns,$152.2K6.0M/15txns,$96.8K,<$0.1,<0.01of6.0M
0x3e57efEf507b4db7aCFa2eE79CeCA6B19e18D106,$13.6K1.6M/3txns,$100.4K2.1M/13txns,$86.8K,-,Unknown
0x066AC675507433b1F43ab273c9eC09E50868De2F,$14.4K9.3M/7txns,$101.1K5.4M/5txns,$86.6K,$213.6K,3.9Mof9.3M
0xa53476642994Ada66E59E7cc9F7754A3862A44c2,"$7,96418.2M/2txns",$89.2K17.6M/19txns,$81.2K,$37.7K,688.7Kof18.2M
0x6B187d9C7932E83115b9fc2fd44Bf9c3dF306A6B,$45.2K5.2M/14txns,$124.4K5.2M/18txns,$79.1K,<$0.1,<0.01of5.2M
0x77777c690A2f85fe6ACE4233c42fd2342149542D,$51.4K4.5M/8txns,$128.5K4.5M/4txns,$77.1K,<$0.1,0of4.5M
0x90BCA52Fe549DcafEe9038e18490D7Ee07d707D1,$39.3K6.1M/9txns,$115.5K6.2M/37txns,$76.1K,-,Unknown
0x03170b7817058084351A9A5CBD010BbDBaefa4D2,$45.6K9.3M/12txns,$121.3K6.6M/17txns,$75.6K,$145.9K,2.6Mof9.3M
0x44855fD7b5E95DdF1756910F8E915ec14d17d65B,"$1,5897.5M/1txns",$76.8K1.6M/12txns,$75.3K,$321.7K,5.8Mof7.5M
0x809Dff43415Ac31771c91A39C956edFCB4b9BB6c,$6048.9M/1txns,$75.1K8.9M/16txns,$74.5K,<$0.1,0of8.9M
0xE915Ba5fFB0DA213AC1aD2daE4C694DB555760A1,$256.3K18.4M/36txns,$330.8K14.5M/32txns,$74.4K,$216.2K,3.9Mof18.4M
0x00000000000030e5959659622Cb7eb50AA20Ee52,-,$72.8K1.1M/30txns,$72.8K,-,Unknown
0x0e82df3A5812057836f4C2859Fe3FA140C4327Fc,"$6,36916.6M/3txns",$77.6K9.4M/37txns,$71.2K,$395.0K,7.2Mof16.6M
0x4874F3EF64228b4434bBaD136130908f7fCc00cb,$19.3K1.7M/1txns,$89.4K3.0M/1txns,$70.0K,-,Unknown
0x3aaF5B3CD2d81fc963Be89a62AD3F1c3524dE106,"$8,2565.9M/2txns",$77.9K5.9M/9txns,$69.6K,<$0.1,<0.01of5.9M
0x6B46F44782B82ac5B4aAebB03E681fACE1c641e0,$21.0K7.1M/3txns,$89.9K5.5M/13txns,$68.9K,$84.8K,1.5Mof7.1M
0xc6277108703b7760AA7fa74C1AA6Ba5720eC756B,$17.9K6.3M/7txns,$86.7K5.3M/14txns,$68.7K,$56.8K,1.0Mof6.3M
0xf067062C7CeA0b40826fA05e649785a74037f234,$44.4K4.0M/4txns,$111.9K4.0M/2txns,$67.4K,<$0.1,0of4.0M
0xf3A18E86e85583Cd1ec11808E10fbeAf097a090b,"$8,1886.5M/4txns",$73.3K5.5M/7txns,$65.2K,$56.7K,1.0Mof6.5M
0x755BaE1cd46C9C27A3230AeF0CE923BDa13d29F7,$33.9K1.8M/11txns,$99.1K2.0M/20txns,$65.1K,-,Unknown
0x16C473448E770Ff647c69CBe19e28528877fba1B,$114.2K4.4M/35txns,$175.0K5.0M/58txns,$60.8K,-,Unknown
0xA68Baa2b6c0C50C70eb6cFafE0F9D5a752d53333,$140.6K10.0M/54txns,$195.5K9.6M/75txns,$54.8K,$21.3K,389.8Kof10.0M
0xA6036F3d2687B8F3E4080e989576655Aebe1EF50,-,$54.0K819.9K/12txns,$54.0K,-,Unknown
0x9286F7dCd11EB96562C03F9ad5d04aabF82c5624,"$6,3503.7M/2txns",$58.5K2.6M/13txns,$52.1K,$59.4K,1.0Mof3.7M
0x1113eFd5C8896CcF251EA360bB9d91F113707F80,$247.8K19.6M/42txns,$299.3K29.7M/56txns,$51.4K,-,Unknown
0x583a3abb39E598d96fF57E05a451e259e6C59688,-,$50.7K10.0M/7txns,$50.7K,-,Unknown
0x2E2906C504c05304E45d81e9734F3674E6cea4ff,"$6,4771.5M/4txns",$54.7K1.2M/7txns,$48.2K,$16.2K,296.8Kof1.5M
0xf4B410A0EEE79034331353C166284130A33d8053,"$5,91711.0M/7txns",$54.0K9.0M/25txns,$48.0K,$108.3K,1.9Mof11.0M
0xB2c118Bab068200Ff38265a66f6e4EA0810F9B09,-,$47.0K6.0M/22txns,$47.0K,-,Unknown
0x4993029fc6Cc404370cc2efb305936CF9F1BF03F,-,$46.7K7.2M/23txns,$46.7K,-,Unknown
0x1114C78D5DE672996d812DC2E1a05b5F33EAcDFb,$289.8K25.1M/56txns,$335.3K22.5M/55txns,$45.4K,$140.8K,2.5Mof25.1M
0x768f1621F176b2010647bE124F1F252CA849D6A7,$78.6K1.3M/10txns,$123.4K3.1M/16txns,$44.8K,-,Unknown
0x111206594F2fB5927f719b4417Ab1DA3D41B14b1,$175.8K26.3M/49txns,$220.2K16.5M/41txns,$44.4K,$537.7K,9.8Mof26.3M
0xAAB961723E77c77AF13968F89bEB80EE8c815cf4,-,$43.0K2.8M/11txns,$43.0K,-,Unknown
0x54b6Dd59367CAF16d6b75Ac97f193aD38eD33d36,$48.0K2.3M/10txns,$90.9K3.8M/14txns,$42.8K,-,Unknown
0xdCa82B8B89717DdE912B1Dc26AcBdc8bc7F263C2,-,$42.3K1.0M/2txns,$42.3K,-,Unknown
0x1afA8776a16C80Bd64bbF2010c8fFF3Df34c83DD,$9031.2M/1txns,$40.8K1.0M/1txns,$39.9K,$13.9K,255.4Kof1.2M
0xd6C73759047D0fAA30Ab373E399bdD182AF3391D,-,$39.8K8.7M/9txns,$39.8K,-,Unknown
0xfFDA9bc6916aa3FAd61C3606C241D8A3a73650B8,"$6,2802.8M/1txns",$45.9K2.8M/2txns,$39.6K,"$3,569",65.1Kof2.8M
0x75EF55F4a271489905Dd44e6269558Bd1A51DCBb,"$9,628159.2K/1txns",$48.7K691.6K/1txns,$39.1K,-,Unknown
0x560EA74e412fd009FA23903d88804119a27e81C4,"$5,74915.4M/3txns",$44.8K20.6M/9txns,$39.0K,-,Unknown
0x9143B98afFbd551E05607Bc28E3BF632e09176d9,$27.6K3.3M/11txns,$66.4K1.0M/6txns,$38.8K,$128.0K,2.3Mof3.3M
0xa259b80271AB7E0103C6dcbA29dda7707D22f5AE,"$3,17511.5M/1txns",$41.3K11.5M/8txns,$38.2K,<$0.1,<0.01of11.5M
0x0f32f96ED925C65AEA7fa713460772e10944FcE0,"$2,8518.1M/1txns",$40.7K4.8M/6txns,$37.8K,$185.8K,3.3Mof8.1M
0x3D145930A87880EdfB5687A45783429e1E7EBFa3,"$6,487752.9K/3txns",$44.2K752.9K/4txns,$37.7K,<$0.1,0of752.9K
0x07De4e70Ff80bc47546ef7c5D081a4a1FF8bD98E,"$9,197657.5K/9txns",$46.8K2.2M/14txns,$37.6K,-,Unknown
0x95C275061f5DD92b31b188192dBf42C48fFCb2B5,$3162.9M/1txns,$37.1K2.9M/5txns,$36.8K,<$0.1,0of2.9M
0xE0af5824B9F948A0e99378A568f816BE7Ec61A20,$19.6K1.7M/4txns,$56.5K1.3M/1txns,$36.8K,$20.0K,365.7Kof1.7M
0xc335Fa6E40739AE95F087c3b05428B15f11FBC61,$20.6K2.7M/13txns,$56.6K2.6M/56txns,$35.9K,"$3,191",58.2Kof2.7M
0xacAd855993d30d9C62F31BF81F6B1b328D99E296,"$8,996856.1K/3txns",$44.6K3.8M/25txns,$35.6K,-,Unknown
0xd506aDAc8D100a5Fe5E2863ed4CF82AE9633DE62,$26.6K6.2M/18txns,$61.9K5.9M/24txns,$35.2K,$14.3K,261.4Kof6.2M
0x56A7d3dCe674306CeCd29186BfF4D3a5d06b11f5,$41.4K3.2M/5txns,$76.2K2.5M/9txns,$34.7K,$41.3K,754.3Kof3.2M
0xbE84D31B2eE049DCb1d8E7c798511632b44d1b55,-,$34.7K2.7M/31txns,$34.7K,-,Unknown
0x0ec335aB2D9f6D694Af12f634676146BB813FF50,$17.0K1.8M/6txns,$51.4K1.2M/6txns,$34.4K,$35.9K,655.9Kof1.8M
0x403995399A2abEe513A3d380b0e75077e1d9226d,"$1,2681.7M/2txns",$35.1K608.0K/6txns,$33.8K,$61.3K,1.1Mof1.7M
0x738cC1C37cC57cA9A5AA9D846039060aAEe467f2,"$6,56316.8M/5txns",$40.4K15.7M/4txns,$33.8K,$59.7K,1.0Mof16.8M
0x9054892070bfEa626Aa9b1B84Ff0DF00486D3f45,$15.3K676.1K/4txns,$49.1K740.8K/1txns,$33.7K,-,Unknown
0x6b56211B208A32f47967D4F0fEffB8D607c9Ab27,$20.2K2.3M/11txns,$53.6K1.9M/12txns,$33.3K,$21.2K,387.9Kof2.3M
0xAA02393Bb4837084c9Cd71eA8a45FcA422E679Ea,$17.0K1.1M/2txns,$49.4K786.7K/6txns,$32.3K,$21.5K,393.6Kof1.1M
0xfa281EA80df00163e1b72aE6e8E1C549d7002049,"$6,3811.5M/4txns",$38.0K1.9M/3txns,$31.6K,-,Unknown
0xcf72EFeAf11d0A73f4fa4dD360F18d33e489685E,$17.3K2.1M/7txns,$48.8K1.4M/9txns,$31.4K,$39.0K,713.3Kof2.1M
0x758E8229Dd38cF11fA9E7c0D5f790b4CA16b3B16,$114.6K8.5M/39txns,$145.9K9.5M/35txns,$31.3K,-,Unknown
0xA94F66939A7aCCC8002F1cccB7bd24D519a5Dfcc,$3023.4M/1txns,$30.9K3.2M/10txns,$30.6K,"$9,126",166.6Kof3.4M
0x6b728f63631e7D4cBADe34975bcd9B76d5861741,"$5,5821.2M/3txns",$36.1K1.1M/13txns,$30.5K,"$3,662",66.8Kof1.2M
0xa8A9834289036Da4e05B675d7cDF92fcdC017769,$10.4K4.3M/3txns,$41.0K4.8M/9txns,$30.5K,-,Unknown
0xB59a1c97D44EAcde4EE2749220132c2561C70B81,"$5,1493.4M/7txns",$35.6K3.4M/8txns,$30.4K,<$0.1,0of3.4M
0x898416c5B5f2b79057ead4EFff8AE8D3f5811CDB,"$4,1611.4M/4txns",$34.2K1.4M/8txns,$30.0K,<$0.1,0of1.4M
0xD98857DB1046be69937C337B7D813ba6C31510D7,$29.3K7.0M/11txns,$59.2K7.8M/12txns,$29.8K,-,Unknown
0xf7e22481C536A66232aeB2b39496370193079BeE,$45.6K1.6M/7txns,$75.3K1.9M/5txns,$29.6K,-,Unknown
0x5f87aE800cca486cDAD1CA61dcd5602f861f3341,"$1,5841.8M/1txns",$31.0K1.6M/6txns,$29.4K,"$8,126",148.4Kof1.8M
0x8fbEf38a486346EE147d5c7F52fa1D6FBA11375c,$31.9K1.4M/2txns,$61.0K1.4M/8txns,$29.1K,$657,12.0Kof1.4M
0xe9A55a89D16f85E36e1378804856EF9A67251521,$634812.0K/1txns,$29.7K812.0K/5txns,$29.1K,<$0.1,<0.01of812.0K
0x6F9Fffa756c0Ed8B1333fF8975c3a637b85ceAE6,$44.2K2.0M/12txns,$73.3K1.7M/11txns,$29.0K,$13.9K,253.9Kof2.0M
0x50eDb9d99Fe061c16e45D62269e9D2524b9976cf,$25.4K927.5K/8txns,$54.2K1.3M/7txns,$28.8K,-,Unknown
0xFCb29e13DE9d564b9ac161f97c9eE5EDe5d5D8C5,$15.7K1.3M/5txns,$44.3K1.2M/5txns,$28.6K,"$1,130",20.6Kof1.3M
0xC3C14ad5F66Fff1c8bF39B65248a0ee0461A768b,-,$28.0K564.2K/2txns,$28.0K,-,Unknown
0x439D44C29A43C8B974f1e9e5C8C6Cd05239960AE,-,$27.8K523.6K/2txns,$27.8K,-,Unknown
0x0E5fdBF365b405f79CC96Bb21463E4D0a0000899,"$1,5773.3M/4txns",$29.3K2.0M/4txns,$27.7K,$70.1K,1.2Mof3.3M
0xF56562A7e747d58E31E9a1043D47eCbE4876c6Dd,$13.2K1.2M/3txns,$40.9K1.1M/8txns,$27.6K,"$5,558",101.5Kof1.2M
0xfAde03e325d6201Fce60AbE0eE00DA3C5e8749B0,$10.1K7.4M/5txns,$37.6K7.4M/11txns,$27.4K,<$0.1,0of7.4M
0xdF3504E9d05E54197F5d6Db864194b199258571D,$69.6K4.0M/51txns,$96.9K4.7M/57txns,$27.3K,-,Unknown
0x00Af7AD1BaD0C331D30175cDD461c19709219B10,-,$27.3K1.0M/14txns,$27.3K,-,Unknown
0x265D1C62624c9fD4C3b1c5F4Cb60F38D3B00D546,$18.0K2.2M/6txns,$45.1K914.1K/7txns,$27.1K,$71.1K,1.2Mof2.2M
